State,Caste,Religion,Groom_Age,Bride_Age,Groom_Education_Yrs,Bride_Education_Yrs,Groom_Income_Monthly,Bride_Income_Monthly,Occupation,Marriage_Type,Area,Family_Type,Dowry_Amount_INR
Uttar Pradesh,OBC,Christian,35,20,15,10,116460,27402,Unemployed,Love,Rural,Joint,400907
Bihar,SC,Muslim,23,25,15,19,118970,77471,Private Job,Love,Urban,Joint,366783
Bihar,OBC,Christian,32,23,12,14,130461,24715,Unemployed,Arranged,Rural,Nuclear,777786
Gujarat,SC,Hindu,31,27,10,14,78214,38041,Private Job,Arranged,Rural,Nuclear,564731
Tamil Nadu,General,Hindu,22,30,13,13,125362,868,Farmer,Arranged,Rural,Nuclear,1459211
Maharashtra,SC,Sikh,34,20,15,17,87782,42147,Private Job,Arranged,Rural,Joint,712988
Maharashtra,SC,Hindu,27,27,11,20,91176,54723,Private Job,Love,Rural,Nuclear,320391
Maharashtra,General,Hindu,24,22,13,12,57257,52817,Govt Job,Arranged,Urban,Joint,1123141
Haryana,ST,Hindu,22,25,15,8,11030,75925,Farmer,Love,Urban,Joint,-46806
Karnataka,ST,Sikh,31,22,14,19,35058,20818,Business,Love,Rural,Joint,36866
Maharashtra,OBC,Hindu,29,19,19,14,28140,54711,Business,Love,Urban,Joint,175757
Bihar,OBC,Muslim,23,28,15,15,54089,28272,Farmer,Arranged,Urban,Nuclear,542252
Tamil Nadu,ST,Christian,22,23,12,13,12506,32759,Farmer,Love,Rural,Joint,10224
Bihar,General,Muslim,24,20,15,14,23047,19250,Business,Love,Rural,Nuclear,72940
Bihar,ST,Hindu,24,20,20,16,100911,32714,Private Job,Arranged,Urban,Nuclear,729946
Haryana,SC,Hindu,34,29,18,20,11333,53369,Private Job,Arranged,Urban,Nuclear,179191
Karnataka,General,Sikh,34,24,19,18,66875,58057,Private Job,Arranged,Rural,Nuclear,883274
Rajasthan,OBC,Hindu,35,25,20,8,146988,57265,Govt Job,Love,Rural,Nuclear,927747
Gujarat,OBC,Muslim,35,29,19,16,100927,67836,Business,Arranged,Urban,Joint,1445483
Kerala,ST,Sikh,25,29,14,17,11004,21904,Farmer,Love,Urban,Nuclear,-35029
Gujarat,SC,Hindu,30,27,19,18,76456,34492,Private Job,Love,Urban,Joint,312848
Maharashtra,OBC,Muslim,30,28,17,9,133303,38239,Business,Arranged,Rural,Nuclear,1910325
Tamil Nadu,SC,Christian,21,25,10,17,66842,69848,Business,Arranged,Rural,Nuclear,650196
Punjab,SC,Muslim,28,20,13,17,41297,10291,Private Job,Arranged,Urban,Joint,406195
Punjab,OBC,Christian,29,18,10,10,10857,60620,Unemployed,Love,Urban,Nuclear,57560
Haryana,SC,Sikh,33,21,18,10,16090,30440,Farmer,Arranged,Urban,Joint,131053
Haryana,SC,Sikh,24,20,16,16,108046,23868,Farmer,Love,Rural,Joint,382950
Rajasthan,SC,Hindu,34,24,18,12,69418,13233,Private Job,Arranged,Urban,Nuclear,528832
Gujarat,ST,Christian,25,30,10,19,17865,44353,Private Job,Arranged,Rural,Nuclear,153382
Punjab,OBC,Hindu,29,24,16,14,74590,77118,Govt Job,Love,Urban,Nuclear,558329
Rajasthan,SC,Hindu,35,29,15,13,40202,53453,Business,Arranged,Urban,Nuclear,336409
Maharashtra,General,Christian,32,29,19,13,92035,56916,Private Job,Arranged,Urban,Nuclear,1177892
Maharashtra,General,Christian,28,30,20,17,50615,69526,Govt Job,Arranged,Rural,Nuclear,1036049
Tamil Nadu,General,Muslim,23,28,18,9,53797,46819,Business,Arranged,Rural,Nuclear,889822
Bihar,General,Hindu,35,30,14,17,123360,10758,Business,Arranged,Urban,Nuclear,2171683
Uttar Pradesh,SC,Hindu,34,27,20,14,29766,4816,Govt Job,Love,Rural,Nuclear,173254
Uttar Pradesh,OBC,Hindu,31,26,11,9,105933,51340,Private Job,Love,Urban,Nuclear,483043
Bihar,SC,Christian,35,25,19,10,96270,70035,Unemployed,Love,Rural,Nuclear,189970
Punjab,ST,Christian,23,22,12,8,93346,39023,Private Job,Arranged,Rural,Nuclear,780692
Gujarat,SC,Muslim,22,30,17,12,105661,25949,Farmer,Arranged,Urban,Joint,795135
Uttar Pradesh,General,Christian,34,29,12,17,123995,54317,Govt Job,Arranged,Rural,Joint,2402789
Rajasthan,ST,Sikh,31,20,14,14,82586,65654,Business,Arranged,Urban,Nuclear,778075
Haryana,SC,Sikh,21,24,11,11,78864,57507,Business,Arranged,Rural,Nuclear,998945
Punjab,General,Sikh,31,29,20,12,55625,40741,Business,Arranged,Urban,Nuclear,1074280
Tamil Nadu,ST,Sikh,26,30,17,8,103847,17977,Govt Job,Love,Rural,Joint,379997
Karnataka,General,Sikh,30,19,17,12,32720,43507,Govt Job,Love,Urban,Nuclear,357498
Tamil Nadu,SC,Muslim,31,30,13,9,105725,26684,Business,Love,Rural,Joint,493821
Rajasthan,OBC,Muslim,23,23,16,14,132292,71618,Private Job,Love,Rural,Joint,597309
Tamil Nadu,ST,Hindu,27,18,11,17,13610,22514,Govt Job,Arranged,Rural,Nuclear,90029
Haryana,General,Sikh,21,27,18,17,92362,37112,Business,Love,Rural,Joint,780407
Punjab,General,Christian,28,20,17,17,17290,35737,Unemployed,Arranged,Rural,Nuclear,156005
Tamil Nadu,SC,Sikh,28,21,19,15,64472,4388,Unemployed,Arranged,Urban,Joint,339515
Kerala,ST,Christian,35,20,16,20,105555,12337,Business,Love,Urban,Nuclear,412233
Tamil Nadu,General,Hindu,28,25,10,10,103767,40408,Farmer,Love,Urban,Joint,493643
Bihar,SC,Hindu,34,28,16,11,76107,72342,Private Job,Arranged,Rural,Nuclear,625717
Uttar Pradesh,SC,Muslim,27,21,16,14,141741,56764,Unemployed,Love,Urban,Nuclear,250871
Rajasthan,ST,Christian,32,26,15,18,84167,74003,Govt Job,Love,Rural,Joint,390206
Maharashtra,General,Hindu,32,22,14,13,108232,57396,Farmer,Arranged,Rural,Nuclear,1189429
Rajasthan,SC,Sikh,26,28,15,9,13365,47496,Business,Arranged,Rural,Joint,175922
Haryana,OBC,Muslim,23,18,12,8,36971,37827,Business,Arranged,Urban,Joint,668646
Maharashtra,ST,Muslim,32,21,10,12,137533,12012,Business,Love,Urban,Joint,456637
Maharashtra,ST,Sikh,35,29,20,20,147760,17155,Business,Arranged,Rural,Nuclear,1303599
Rajasthan,ST,Christian,27,19,16,8,124784,60092,Farmer,Arranged,Urban,Nuclear,774987
Uttar Pradesh,General,Sikh,22,23,17,16,21971,63059,Private Job,Love,Urban,Nuclear,128351
Haryana,General,Hindu,33,22,17,15,45572,71591,Farmer,Love,Rural,Nuclear,248289
Rajasthan,ST,Sikh,30,18,15,12,104479,71258,Farmer,Love,Urban,Joint,284965
Haryana,General,Christian,22,28,17,8,29524,60840,Govt Job,Love,Urban,Joint,364493
Bihar,SC,Sikh,33,21,14,9,42264,48717,Unemployed,Love,Rural,Nuclear,60832
Rajasthan,SC,Hindu,34,30,12,18,49591,4811,Farmer,Arranged,Rural,Joint,293612
Uttar Pradesh,ST,Muslim,27,23,20,12,118638,56901,Private Job,Arranged,Urban,Joint,871762
Bihar,OBC,Muslim,30,25,20,17,137515,70408,Business,Arranged,Rural,Nuclear,2050630
Karnataka,OBC,Sikh,24,28,14,9,26997,78171,Business,Love,Urban,Joint,174061
Punjab,ST,Hindu,32,29,12,16,137509,19235,Unemployed,Arranged,Rural,Nuclear,638657
Rajasthan,SC,Hindu,33,25,12,8,144062,50786,Business,Arranged,Urban,Joint,1585690
Kerala,SC,Sikh,34,19,15,19,42479,78745,Private Job,Arranged,Rural,Nuclear,377359
Rajasthan,SC,Muslim,21,20,10,11,51788,6833,Farmer,Arranged,Rural,Nuclear,428320
Kerala,ST,Christian,35,20,11,15,85014,22972,Unemployed,Arranged,Rural,Joint,360906
Uttar Pradesh,General,Christian,23,29,12,17,61442,22755,Private Job,Arranged,Urban,Nuclear,783739
Tamil Nadu,OBC,Christian,22,24,20,8,53833,53929,Unemployed,Love,Rural,Nuclear,91902
Haryana,ST,Hindu,25,24,10,18,52787,31171,Business,Arranged,Urban,Joint,582775
Haryana,General,Christian,35,28,18,10,67965,60449,Business,Arranged,Urban,Nuclear,1360013
Haryana,ST,Muslim,34,25,12,13,24305,42101,Farmer,Love,Urban,Nuclear,82336
Kerala,ST,Christian,31,18,16,11,119292,73020,Govt Job,Love,Urban,Joint,602349
Gujarat,OBC,Muslim,34,30,17,10,142489,49775,Farmer,Arranged,Urban,Joint,1361308
Gujarat,OBC,Christian,28,29,18,13,126630,6171,Private Job,Love,Urban,Joint,588515
Punjab,OBC,Muslim,29,20,15,10,73771,33256,Private Job,Arranged,Urban,Nuclear,971338
Rajasthan,ST,Muslim,22,22,12,17,95238,3043,Govt Job,Arranged,Rural,Nuclear,950572
Haryana,General,Sikh,23,27,15,16,100233,13427,Govt Job,Arranged,Urban,Nuclear,2457498
Maharashtra,General,Sikh,25,28,14,11,126104,7540,Govt Job,Arranged,Rural,Nuclear,2482849
Maharashtra,SC,Christian,23,19,18,18,148818,61300,Govt Job,Arranged,Urban,Nuclear,1889766
Gujarat,General,Christian,21,28,16,11,131112,52841,Business,Love,Urban,Joint,957077
Haryana,General,Muslim,24,18,19,14,116829,28292,Private Job,Love,Urban,Joint,821103
Uttar Pradesh,SC,Christian,22,21,17,18,29208,59673,Farmer,Arranged,Rural,Nuclear,216173
Punjab,SC,Christian,25,24,12,17,29436,35066,Private Job,Arranged,Urban,Joint,317617
Maharashtra,SC,Muslim,35,24,20,15,140818,15708,Farmer,Love,Urban,Nuclear,381502
Karnataka,SC,Hindu,24,20,16,10,58393,69047,Business,Arranged,Urban,Joint,637883
Haryana,SC,Muslim,30,19,13,17,134586,57412,Govt Job,Arranged,Rural,Joint,2049212
Uttar Pradesh,OBC,Christian,28,19,14,17,120069,1248,Farmer,Love,Urban,Nuclear,484714
Rajasthan,SC,Hindu,32,21,20,14,130483,76413,Business,Love,Urban,Joint,593372
Maharashtra,ST,Sikh,25,28,11,10,67643,44840,Unemployed,Arranged,Urban,Joint,312092
Kerala,OBC,Muslim,30,24,19,9,72443,28785,Govt Job,Love,Rural,Nuclear,585630
Tamil Nadu,General,Hindu,26,20,19,13,109253,14797,Business,Love,Urban,Nuclear,678013
Gujarat,ST,Hindu,24,23,14,14,43342,21530,Private Job,Arranged,Rural,Nuclear,256470
Karnataka,OBC,Sikh,27,20,11,10,45426,24790,Private Job,Arranged,Urban,Nuclear,472365
Uttar Pradesh,General,Sikh,21,23,20,19,32558,21709,Farmer,Arranged,Rural,Nuclear,366816
Gujarat,ST,Muslim,27,28,12,10,123411,16636,Unemployed,Love,Urban,Joint,259869
Bihar,SC,Sikh,23,23,20,19,122277,42278,Unemployed,Arranged,Rural,Nuclear,565465
Rajasthan,SC,Sikh,32,27,14,10,31435,11320,Private Job,Arranged,Rural,Nuclear,249326
Gujarat,SC,Muslim,32,28,13,14,100165,3244,Farmer,Love,Rural,Joint,354155
Tamil Nadu,OBC,Hindu,26,29,17,13,66760,71120,Private Job,Arranged,Rural,Joint,719366
Gujarat,OBC,Christian,28,25,12,19,87686,25219,Unemployed,Love,Urban,Joint,254511
Kerala,General,Christian,24,28,10,12,144945,66800,Private Job,Arranged,Rural,Joint,2254164
Maharashtra,OBC,Christian,28,20,12,18,24851,7468,Private Job,Arranged,Rural,Nuclear,286200
Punjab,SC,Muslim,21,25,18,8,87127,18045,Govt Job,Love,Urban,Nuclear,521793
Gujarat,SC,Muslim,25,21,15,14,107567,57282,Unemployed,Love,Rural,Nuclear,252789
Punjab,OBC,Sikh,26,24,12,17,69334,53561,Govt Job,Arranged,Urban,Joint,1295560
Uttar Pradesh,SC,Hindu,31,21,15,19,68421,74564,Govt Job,Arranged,Rural,Joint,854202
Gujarat,OBC,Sikh,21,27,15,9,143189,39518,Business,Arranged,Urban,Joint,2062431
Tamil Nadu,SC,Muslim,23,30,14,10,30290,48489,Govt Job,Love,Urban,Joint,181163
Punjab,SC,Christian,32,21,16,14,30914,39918,Private Job,Love,Rural,Joint,200776
Tamil Nadu,SC,Hindu,24,22,16,20,34800,46817,Farmer,Arranged,Rural,Nuclear,246668
Bihar,ST,Sikh,27,27,14,10,140610,8444,Farmer,Arranged,Rural,Joint,959817
Karnataka,General,Hindu,33,30,12,11,95649,11851,Private Job,Love,Urban,Nuclear,464423
Rajasthan,General,Hindu,26,26,13,14,84342,67639,Business,Love,Rural,Joint,636584
Bihar,OBC,Christian,29,19,16,10,55526,76080,Business,Arranged,Rural,Joint,834895
Karnataka,SC,Christian,22,21,17,8,94355,34887,Business,Love,Urban,Nuclear,371376
Maharashtra,OBC,Muslim,31,26,13,11,93327,11019,Govt Job,Love,Urban,Joint,631310
Karnataka,SC,Sikh,28,29,16,9,27804,75952,Farmer,Arranged,Rural,Nuclear,210138
Uttar Pradesh,OBC,Muslim,30,21,18,12,20188,56158,Govt Job,Arranged,Rural,Joint,364381
Maharashtra,General,Christian,21,29,10,17,43011,5040,Farmer,Arranged,Rural,Joint,492065
Tamil Nadu,General,Sikh,34,21,11,13,22037,58,Farmer,Arranged,Rural,Joint,242470
Karnataka,General,Hindu,22,18,17,9,80658,9607,Govt Job,Arranged,Urban,Joint,1641285
Punjab,OBC,Christian,34,18,10,16,107331,39167,Unemployed,Arranged,Rural,Joint,845125
Tamil Nadu,SC,Christian,32,30,20,11,119672,68864,Govt Job,Love,Urban,Joint,651648
Bihar,General,Hindu,33,18,17,9,108110,60907,Govt Job,Arranged,Urban,Joint,2096877
Karnataka,OBC,Muslim,26,23,19,9,56153,74237,Private Job,Love,Urban,Nuclear,330406
Punjab,General,Muslim,25,23,11,15,84887,23989,Private Job,Arranged,Urban,Nuclear,1290320
Haryana,OBC,Muslim,22,18,19,20,77841,20645,Unemployed,Love,Rural,Nuclear,215893
Haryana,SC,Sikh,23,30,16,9,138031,36413,Farmer,Arranged,Rural,Nuclear,1343350
Tamil Nadu,SC,Sikh,22,28,10,18,68712,42493,Private Job,Love,Urban,Joint,211373
Bihar,General,Hindu,25,27,16,8,148501,74795,Business,Love,Urban,Nuclear,1083920
Bihar,SC,Muslim,24,21,13,15,68061,1895,Govt Job,Love,Rural,Nuclear,391703
Karnataka,General,Hindu,28,26,16,19,11331,46296,Unemployed,Love,Urban,Joint,27620
Rajasthan,ST,Sikh,23,18,18,13,130190,18935,Business,Love,Urban,Joint,383226
Gujarat,General,Sikh,22,30,17,20,122571,12679,Business,Love,Urban,Nuclear,827614
Gujarat,SC,Christian,21,19,17,13,119999,72796,Private Job,Love,Rural,Nuclear,413078
Karnataka,SC,Muslim,27,24,10,16,149777,36525,Govt Job,Arranged,Rural,Joint,1968017
Maharashtra,SC,Sikh,22,26,12,20,28927,36072,Unemployed,Arranged,Urban,Nuclear,226950
Bihar,SC,Sikh,24,18,10,20,17459,29186,Business,Arranged,Rural,Joint,158672
Tamil Nadu,General,Sikh,34,26,20,18,149361,48168,Private Job,Arranged,Urban,Joint,1981752
Punjab,OBC,Hindu,26,22,10,17,128126,3674,Business,Love,Rural,Nuclear,917726
Kerala,ST,Christian,23,26,15,14,78454,72666,Unemployed,Love,Rural,Nuclear,211833
Rajasthan,General,Muslim,32,20,12,16,67350,8717,Business,Arranged,Rural,Nuclear,1163149
Kerala,OBC,Muslim,35,30,13,17,45326,17636,Farmer,Love,Rural,Joint,118264
Gujarat,SC,Sikh,32,29,18,11,127237,48645,Farmer,Arranged,Urban,Joint,965591
Rajasthan,General,Muslim,23,26,18,12,11107,56780,Private Job,Love,Rural,Joint,-28
Tamil Nadu,OBC,Muslim,21,23,17,8,99265,42745,Farmer,Love,Urban,Joint,382959
Maharashtra,General,Christian,29,26,16,20,91542,66216,Private Job,Love,Urban,Joint,525018
Karnataka,OBC,Hindu,27,24,18,16,19486,48242,Business,Arranged,Urban,Joint,293907
Rajasthan,OBC,Christian,26,22,15,13,21514,48347,Private Job,Arranged,Rural,Nuclear,294058
Bihar,SC,Sikh,34,19,15,19,16193,63324,Govt Job,Arranged,Urban,Joint,223548
Karnataka,SC,Muslim,35,28,17,10,71502,47319,Business,Love,Rural,Joint,251122
Gujarat,SC,Hindu,27,19,14,12,114392,1823,Govt Job,Arranged,Rural,Joint,1332455
Gujarat,ST,Sikh,24,25,12,14,121539,14391,Farmer,Love,Rural,Nuclear,313718
Uttar Pradesh,OBC,Sikh,32,19,16,10,22454,55979,Unemployed,Love,Urban,Nuclear,48582
Haryana,General,Hindu,24,29,15,9,12170,55809,Govt Job,Love,Rural,Nuclear,65063
Maharashtra,OBC,Sikh,31,22,15,8,112065,38438,Farmer,Love,Urban,Nuclear,358746
Haryana,ST,Christian,22,27,10,10,103160,76273,Private Job,Arranged,Rural,Nuclear,829806
Kerala,ST,Hindu,21,29,16,8,102481,43091,Govt Job,Arranged,Urban,Nuclear,1281536
Uttar Pradesh,ST,Sikh,21,21,13,14,118801,37427,Farmer,Arranged,Rural,Nuclear,781740
Gujarat,ST,Christian,23,25,18,8,75237,27213,Farmer,Arranged,Urban,Nuclear,483424
Uttar Pradesh,SC,Christian,33,23,15,13,35652,8028,Govt Job,Love,Rural,Joint,262228
Punjab,SC,Hindu,28,23,12,12,121528,18055,Business,Arranged,Rural,Joint,1559681
Rajasthan,SC,Sikh,24,19,20,14,49298,27338,Farmer,Love,Urban,Joint,194904
Rajasthan,SC,Muslim,24,19,14,13,22883,61075,Private Job,Arranged,Urban,Joint,196870
Maharashtra,ST,Sikh,22,29,20,13,40242,78333,Farmer,Arranged,Urban,Joint,288258
Haryana,ST,Muslim,21,21,20,16,22203,51221,Unemployed,Love,Rural,Nuclear,22935
Tamil Nadu,OBC,Sikh,28,20,16,18,113210,47316,Business,Love,Rural,Joint,701145
Tamil Nadu,ST,Muslim,30,23,12,17,67705,28081,Govt Job,Arranged,Urban,Joint,725663
Gujarat,SC,Christian,26,29,11,19,148822,31126,Unemployed,Love,Urban,Joint,269624
Haryana,General,Sikh,27,29,20,17,28652,16487,Private Job,Arranged,Urban,Nuclear,446369
Bihar,SC,Christian,34,21,13,19,24416,66560,Business,Arranged,Rural,Joint,257819
Tamil Nadu,ST,Muslim,35,20,19,20,47460,41178,Govt Job,Love,Urban,Joint,223790
Punjab,OBC,Sikh,22,23,14,8,83330,29614,Farmer,Love,Urban,Joint,336995
Kerala,SC,Christian,25,25,10,8,36615,33591,Business,Arranged,Urban,Joint,484047
Tamil Nadu,OBC,Sikh,24,27,16,10,127749,29440,Private Job,Love,Rural,Nuclear,581860
Tamil Nadu,OBC,Sikh,33,27,15,20,110415,69345,Farmer,Love,Rural,Nuclear,438894
Gujarat,OBC,Muslim,22,28,15,8,119148,54009,Business,Love,Urban,Nuclear,748873
Tamil Nadu,ST,Christian,27,25,17,8,146931,47868,Private Job,Love,Urban,Joint,450107
Maharashtra,SC,Muslim,34,27,13,20,98764,20049,Govt Job,Arranged,Rural,Joint,1258866
Tamil Nadu,General,Muslim,22,24,16,9,43528,68152,Business,Arranged,Urban,Joint,746457
Tamil Nadu,SC,Christian,22,25,15,13,35740,48173,Private Job,Arranged,Urban,Joint,318573
Maharashtra,OBC,Hindu,24,18,14,11,17312,47190,Govt Job,Love,Rural,Nuclear,134424
Kerala,OBC,Muslim,34,30,16,11,121367,32270,Private Job,Love,Rural,Joint,549534
Bihar,General,Muslim,35,29,11,18,21511,3012,Business,Arranged,Rural,Joint,348459
Kerala,General,Christian,22,18,17,17,102299,75528,Private Job,Arranged,Rural,Nuclear,1521642
Bihar,General,Muslim,34,22,17,20,43296,25805,Unemployed,Love,Urban,Joint,198997
Punjab,General,Christian,28,22,14,11,108923,61216,Private Job,Arranged,Urban,Joint,1696156
Maharashtra,ST,Christian,21,30,15,14,149012,24009,Farmer,Arranged,Urban,Joint,929108
Gujarat,OBC,Sikh,25,20,19,12,29386,42762,Govt Job,Arranged,Rural,Nuclear,529708
Bihar,SC,Sikh,22,20,15,9,62604,48038,Unemployed,Arranged,Urban,Joint,340396
Punjab,General,Hindu,21,23,17,8,32927,35692,Private Job,Arranged,Urban,Nuclear,457229
Uttar Pradesh,ST,Hindu,25,29,18,17,56153,19095,Govt Job,Love,Rural,Nuclear,232297
Haryana,ST,Hindu,25,25,16,11,125967,52476,Business,Love,Rural,Nuclear,533465
Rajasthan,SC,Hindu,23,22,10,13,17195,48533,Private Job,Arranged,Rural,Joint,58930
Gujarat,SC,Sikh,22,21,16,13,149005,38460,Business,Love,Urban,Joint,624088
Kerala,General,Christian,25,27,15,15,30124,16178,Unemployed,Love,Rural,Nuclear,103607
Punjab,General,Sikh,28,21,17,20,52628,1367,Unemployed,Arranged,Urban,Nuclear,486850
Maharashtra,SC,Hindu,27,20,15,11,20148,70217,Unemployed,Arranged,Rural,Nuclear,28643
Uttar Pradesh,General,Sikh,27,27,18,17,20552,29444,Unemployed,Arranged,Rural,Nuclear,217888
Karnataka,SC,Hindu,31,20,17,8,90032,23155,Govt Job,Arranged,Rural,Joint,1142802
Bihar,ST,Christian,35,21,18,16,138190,59545,Business,Love,Rural,Joint,504889
Punjab,SC,Hindu,33,20,11,9,62346,76259,Unemployed,Arranged,Urban,Joint,401589
Tamil Nadu,ST,Muslim,34,22,20,14,141500,65102,Unemployed,Love,Rural,Joint,198316
Tamil Nadu,SC,Sikh,30,20,19,10,11011,19279,Govt Job,Arranged,Urban,Nuclear,163208
Tamil Nadu,SC,Muslim,22,18,17,13,139655,33967,Govt Job,Love,Urban,Joint,693886
Maharashtra,OBC,Sikh,35,26,20,18,136281,36899,Unemployed,Love,Rural,Joint,314952
Uttar Pradesh,OBC,Sikh,31,29,10,14,110770,13017,Business,Love,Rural,Nuclear,662276
Bihar,OBC,Christian,28,30,18,12,52811,10844,Farmer,Love,Urban,Joint,283715
Rajasthan,OBC,Hindu,33,27,18,9,22722,64543,Private Job,Arranged,Urban,Nuclear,286183
Gujarat,SC,Christian,30,28,10,19,45407,28714,Private Job,Love,Rural,Joint,200532
Maharashtra,ST,Muslim,27,26,19,17,62033,58075,Business,Arranged,Rural,Nuclear,538468
Tamil Nadu,SC,Muslim,31,21,19,9,85871,31238,Farmer,Arranged,Urban,Joint,577032
Punjab,OBC,Christian,25,20,11,18,99104,50131,Govt Job,Arranged,Urban,Joint,2036766
Bihar,SC,Christian,21,23,18,19,55303,60452,Govt Job,Arranged,Urban,Joint,807838
Gujarat,SC,Christian,34,25,15,11,86137,44859,Private Job,Love,Rural,Joint,370006
Uttar Pradesh,General,Muslim,35,20,18,17,121568,50520,Govt Job,Love,Rural,Nuclear,931441
Punjab,ST,Hindu,29,24,13,16,77786,66917,Govt Job,Love,Rural,Nuclear,334309
Kerala,ST,Christian,22,28,15,18,139115,46729,Private Job,Love,Rural,Joint,414142
Kerala,SC,Christian,32,26,20,11,68806,63202,Farmer,Love,Urban,Joint,168469
Bihar,General,Hindu,23,19,20,18,98285,70548,Farmer,Love,Urban,Joint,454604
Kerala,General,Sikh,21,22,14,13,78489,40419,Farmer,Arranged,Rural,Joint,1182269
Uttar Pradesh,SC,Muslim,26,25,19,14,137498,78607,Business,Arranged,Urban,Nuclear,1512269
Kerala,OBC,Sikh,22,22,12,12,74746,26115,Farmer,Love,Rural,Nuclear,370309
Haryana,OBC,Sikh,33,23,19,19,30379,65865,Farmer,Love,Urban,Nuclear,213140
Maharashtra,OBC,Sikh,25,21,10,14,123388,19905,Unemployed,Love,Rural,Joint,305539
Karnataka,OBC,Sikh,28,23,18,20,117301,22044,Unemployed,Love,Urban,Joint,411451
Uttar Pradesh,OBC,Christian,21,29,13,15,68579,50287,Business,Love,Rural,Nuclear,491876
Bihar,SC,Muslim,32,28,13,10,98987,66430,Unemployed,Arranged,Rural,Joint,498278
Tamil Nadu,SC,Sikh,33,30,20,19,15388,59051,Govt Job,Love,Urban,Nuclear,49602
Haryana,OBC,Sikh,30,28,14,9,10886,22126,Farmer,Love,Urban,Joint,86592
Kerala,ST,Hindu,31,29,17,11,126242,42828,Business,Arranged,Urban,Nuclear,1361186
Rajasthan,General,Christian,27,22,16,13,134567,41298,Private Job,Arranged,Urban,Joint,1691543
Uttar Pradesh,General,Hindu,21,24,15,16,73287,21128,Business,Arranged,Rural,Joint,1302612
Karnataka,ST,Sikh,32,22,11,17,76268,44113,Govt Job,Arranged,Urban,Nuclear,861636
Gujarat,OBC,Christian,22,21,11,9,146018,63492,Unemployed,Arranged,Urban,Nuclear,971494
Tamil Nadu,General,Muslim,21,20,12,13,44513,57606,Unemployed,Arranged,Urban,Joint,284058
Bihar,ST,Hindu,33,23,17,18,56394,3461,Farmer,Love,Urban,Nuclear,80636
Uttar Pradesh,ST,Muslim,26,18,20,20,52327,79576,Business,Love,Urban,Nuclear,195831
Haryana,OBC,Muslim,22,22,13,20,50720,10719,Private Job,Arranged,Rural,Joint,644510
Punjab,General,Sikh,34,27,16,11,114541,68681,Private Job,Arranged,Rural,Joint,1769784
Maharashtra,ST,Hindu,34,23,18,9,46196,10884,Farmer,Love,Rural,Joint,167512
Gujarat,General,Sikh,26,30,11,12,33614,29830,Business,Arranged,Urban,Joint,604735
Kerala,ST,Christian,26,23,14,10,64543,7555,Business,Arranged,Urban,Nuclear,773716
Kerala,SC,Hindu,31,23,15,12,65292,31441,Govt Job,Arranged,Rural,Nuclear,949436
Rajasthan,ST,Hindu,33,26,17,15,19068,40843,Private Job,Love,Urban,Nuclear,36230
Punjab,SC,Christian,30,20,10,16,35633,16051,Business,Arranged,Urban,Joint,510442
Rajasthan,SC,Muslim,24,21,19,20,92841,12535,Govt Job,Love,Rural,Nuclear,495893
Uttar Pradesh,SC,Muslim,23,18,14,19,142446,51831,Unemployed,Love,Rural,Joint,367208
Bihar,General,Christian,30,28,20,15,39860,19959,Govt Job,Love,Urban,Joint,331934
Maharashtra,General,Hindu,33,24,11,8,68541,27870,Farmer,Arranged,Rural,Joint,894335
Gujarat,OBC,Hindu,34,19,14,15,15589,63201,Govt Job,Arranged,Rural,Nuclear,284219
Haryana,ST,Muslim,23,19,19,12,71614,5864,Farmer,Arranged,Urban,Nuclear,594510
Kerala,ST,Muslim,31,23,18,19,39698,75436,Farmer,Love,Rural,Joint,103871
Rajasthan,ST,Christian,21,20,10,11,43619,51339,Govt Job,Love,Urban,Joint,183914
Bihar,ST,Muslim,22,27,17,10,108845,25227,Business,Arranged,Urban,Nuclear,1036036
Uttar Pradesh,General,Hindu,23,28,16,11,14459,48286,Private Job,Arranged,Rural,Joint,268615
Karnataka,SC,Hindu,31,18,15,10,40187,513,Unemployed,Arranged,Urban,Nuclear,241415
Bihar,SC,Hindu,33,18,19,14,148168,71687,Business,Arranged,Urban,Nuclear,1633097
Kerala,ST,Hindu,28,18,12,20,28907,78979,Unemployed,Arranged,Rural,Joint,214558
Kerala,OBC,Muslim,34,21,14,14,116142,15522,Govt Job,Love,Urban,Joint,810245
Gujarat,General,Sikh,22,19,17,20,87288,62848,Farmer,Arranged,Urban,Nuclear,950157
Karnataka,OBC,Muslim,30,18,20,19,120806,26163,Farmer,Love,Rural,Joint,512473
Rajasthan,General,Muslim,35,19,18,10,114217,61855,Unemployed,Arranged,Rural,Nuclear,891598
Maharashtra,ST,Muslim,33,29,16,8,115025,6940,Govt Job,Love,Urban,Joint,513380
Uttar Pradesh,ST,Muslim,22,29,15,12,67065,4666,Business,Arranged,Rural,Joint,613511
Bihar,General,Sikh,31,28,17,13,130274,17264,Farmer,Arranged,Urban,Joint,1552753
Haryana,General,Christian,29,23,18,11,73135,34673,Farmer,Love,Rural,Joint,370006
Karnataka,ST,Hindu,34,22,13,16,68367,74749,Business,Arranged,Rural,Joint,650664
Haryana,ST,Hindu,25,21,16,19,21942,73023,Business,Love,Rural,Nuclear,145563
Kerala,General,Hindu,22,24,20,20,77811,62016,Private Job,Love,Rural,Nuclear,546568
